docsrc	docsrc_name	description	status_action	region	province	printtype	mediatype	date_from	date_to	timeliness
TAI	"Tourist Austria International"	"Österreichs Wochenzeitung für Tourismuswirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2001-03-02	2026-06-12	
TERRAM	"Terra Mater"	"Natur- und Wissensmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2017-04-04	2025-10-16	
TEXTIL	"Österreichische Textilzeitung"	"Fachzeitschrift für die österreichische Textilwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2012-05-11	2026-02-11	
TGATECHH	TGA	"Technische Gebäude Ausrüstung"	added_in_amc5	agesamt	-	fachmedium	print	2019-05-23	2026-06-30	
THEREDBU	"The Red Bulletin"	"Internationales Lifestylemagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2017-03-14	2026-06-12	
TIPS	TIPS	"Regionale Wochenzeitschrift für Oberösterreich"	added_in_amc5	amitte	"OÖ"	zeitung	print	2011-07-20	2026-06-24	
TIRBEZ	"Tiroler Bezirksblätter"	"Regionale Wochenzeitschrift für Tirol"	added_in_amc5	awest	T	zeitung	print	2010-10-06	2026-06-24	
TIROLERI	Tirolerin	"Mode- und Lifestyleillustrierte für Tirol"	added_in_amc5	awest	T	zeitschrift	print	2017-02-03	2026-05-29	
TIROLERS	"Tiroler Sonntag"	"Kirchenzeitung für Tirol"	added_in_amc5	awest	T	zeitschrift	print	2013-07-11	2026-06-25	
TIROLERWH	"Tiroler Wirtschaft"	"Die Zeitung der Wirtschaftskammer Tirol"	added_in_amc5	awest	T	zeitschrift	print	2016-03-24	2026-06-25	
TISCH	"Tischler Journal"	"Österreichisches Fachmagazin für die Tischlerei-Branche"	added_in_amc5	agesamt	-	fachmedium	print	2013-11-12	2026-06-03	
TOPGEWIN	"TOP Gewinn"	"Beilage zu GEWINN (eingestellt)"	added_in_amc5	agesamt	-	zeitschrift	print	2014-06-17	2022-12-13	eingestellt
TRAFIKZT	"Trafikanten Zeitung"	"Fachzeitung zur österreichischen Tabakwirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2009-06-01	2026-06-19	
TRAKTUEL	Traktuell	"Internationale Transport Revue"	added_in_amc5	agesamt	-	fachmedium	print	2019-04-10	2026-06-17	
TRAVELDRIVE	"Travel & Drive"	"Lifestyle Magazin hervorgegangen aus AUTO-aktuell und REISE-aktuell"	added_in_amc5	agesamt	-	zeitschrift	print	2026-03-27	2026-06-26	
TREND	trend	"Premium-Ausgabe des Wirtschaftsmagazins trend"	im_amc	agesamt	-	zeitschrift	print	1994-01-01	2026-06-26	
TT	"Tiroler Tageszeitung"	"Tageszeitung für Tirol"	im_amc	awest	T	zeitung	print	1996-01-02	2026-06-30	
TTKOMP	"TT Kompakt"	"Gratis-Tageszeitung für Tirol"	im_amc	awest	T	zeitung	print	2008-05-15	2024-12-20	eingestellt
TVMEDIA	"TV Media"	Medienmagazin	im_amc	agesamt	-	zeitschrift	print	1999-01-02	2026-06-24	
UNSERLAH	"Unser Ländle"	"Informationen der Landwirtschaftskammer Vorarlberg"	added_in_amc5	awest	V	zeitschrift	print	2013-11-08	2026-06-25	
UNTERKAH	"Unterkärntner Nachrichten"	"Regionale Wochenzeitung für das Lavanttal"	added_in_amc5	asuedost	KT	zeitung	print	2014-12-30	2026-06-24	
VERKEHR	Verkehr	"Wochenzeitung für Verkehrswirtschaft"	added_in_amc5	agesamt	-	fachmedium	print	2002-01-11	2026-06-26	
VERSMAK	"Der Versicherungsmakler"	"Das offizielle Organ des Fachverbandes der Versicherungsmakler in der WKÖ"	added_in_amc5	agesamt	-	fachmedium	print	2012-05-22	2026-04-30	
VN	"Vorarlberger Nachrichten"	"Tageszeitung für Vorarlberg"	im_amc	awest	V	zeitung	print	1997-01-02	2026-06-30	
VORARLKI	"Vorarlberger KirchenBlatt"	"Kirchenzeitung für Vorarlberg"	added_in_amc5	awest	V	zeitschrift	print	2013-06-20	2026-06-25	
WIBLATT	Wirtschaftsblatt	"ehem. Tageszeitung für Wirtschaft & Finanzen (eingestellt)"	im_amc	agesamt	-	zeitung	print	1995-01-01	2016-09-02	eingestellt
WIENBEZ	"bz Wiener Bezirkszeitung"	"Regionale Wochenzeitschrift für Wien"	added_in_amc5	aost	W	zeitung	print	2010-10-06	2026-06-24	
WIENER	Wiener	"Die Zeitschrift für den Mann"	im_amc	agesamt	-	zeitschrift	print	2001-07-01	2026-04-23	
WIENERIN	Wienerin	"Österreichisches Frauenmagazin"	im_amc	agesamt	-	zeitschrift	print	2001-07-01	2026-05-29	
WIENWIRH	"Wiener Wirtschaft"	"Informationen der Wirtschaftskammer Wien"	added_in_amc5	aost	W	zeitschrift	print	2012-10-12	2026-06-25	
WIRTSCHN	Wirtschaftsnachrichten	"Österreichisches Wirtschaftsmagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2010-11-02	2026-06-10	
WOCHESTMK	"WOCHE Steiermark"	"Regionale Wochenzeitschrift für die Steiermark"	added_in_amc5	asuedost	ST	zeitung	print	2005-04-06	2026-06-24	
WOMAN	Woman	"Österreichische Frauenzeitung"	im_amc	agesamt	-	zeitschrift	print	2003-01-03	2026-06-25	
WOMANELEV	"Woman Elevate"	"Line Extension der WOMAN-Familie"	added_in_amc5	agesamt	-	zeitschrift	print	2024-03-28	2024-10-24	eingestellt
WOMANVIV	"Woman Viva"	"Österreichisches Lifestyle-Magazin"	added_in_amc5	agesamt	-	zeitschrift	print	2014-04-03	2015-09-04	eingestellt
WUFF	WUFF	"Das Österreichische Hundemagazin"	added_in_amc5	agesamt	-	zeitschrift	print	2014-01-08	2018-11-09	eingestellt
WZ	"Wiener Zeitung"	"Überregionale Österreichische Tageszeitung"	im_amc	agesamt	-	zeitung	print	1996-08-01	2023-06-30	eingestellt
YACHTREV	"Yacht Revue"	"Österreichs Magazin für Wassersport"	added_in_amc5	agesamt	-	zeitschrift	print	2012-09-07	2026-04-30	
ZILLHEIM	"Zillertaler Heimatstimme"	"Wochenzeitung für das Zillertal"	added_in_amc5	awest	T	zeitung	print	2026-01-15	2026-06-25	
